URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,38.0,5,0.7674418426176316,0.03487429032045881,13.7,0.41768045417680455,1.10786699107867,13.7,515.0,1233.0,2.3519870235198703,34.0,7.153284671532846
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,64.0,31,0.34736841739612195,0.06354515045916712,16.0752688172043,0.46488294314381273,1.1620066889632106,16.0752688172043,695.0,1495.0,2.440133779264214,26.0,7.500334448160535
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,42.0,23,0.292307687810651,0.04996156798619403,19.13235294117647,0.49500384319754037,1.2304381245196003,19.13235294117647,644.0,1301.0,2.5810914681014605,35.0,7.983858570330515
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,41.0,72,-0.274336280758086,0.08800623046105432,20.38095238095238,0.5,1.2386292834890966,20.38095238095238,642.0,1284.0,2.5965732087227416,27.0,7.850467289719626
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,28.0,11,0.4358974247205789,0.037572254299063336,18.87272727272727,0.44508670520231214,1.1710982658959537,18.87272727272727,462.0,1038.0,2.4826589595375723,29.0,7.616570327552987
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,91.0,26,0.5555555508072175,0.06554621845067439,17.33009708737864,0.47170868347338935,1.186778711484594,17.33009708737864,842.0,1785.0,2.4952380952380953,28.0,7.851540616246498
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,37.0,60,-0.23711339961738764,0.0701881330895889,15.52808988764045,0.44573082489146165,1.1562952243125906,15.52808988764045,616.0,1382.0,2.4450072358900146,23.0,7.394356005788712
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,33.0,10,0.5348837084910766,0.0372616984079188,20.24561403508772,0.49740034662045063,1.250259965337955,20.24561403508772,574.0,1154.0,2.6282495667244365,25.0,7.983535528596187
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,40.0,49,-0.10112359436939782,0.07046714167025563,17.788732394366196,0.5019794140934284,1.2345209817893905,17.788732394366196,634.0,1263.0,2.5843230403800477,25.0,7.901821060965954
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,141.0,173,-0.10191082770092093,0.12748680465794285,9.735177865612648,0.4681282988225741,1.1626471782379213,9.735177865612648,1153.0,2463.0,2.438489646772229,35.0,7.797401542833942
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,66.0,21,0.5172413733650417,0.05827193566090292,18.6625,0.5117213663764233,1.2442062960482252,18.6625,764.0,1493.0,2.5987943737441395,25.0,7.851975887474882
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,81.0,24,0.5428571376870749,0.06867233481447198,17.375,0.5356442119032047,1.317724002616089,17.375,819.0,1529.0,2.7586657946370177,24.0,7.799869195552649
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,45.0,13,0.5517241284185496,0.06073298422959897,27.285714285714285,0.5026178010471204,1.248586387434555,27.285714285714285,480.0,955.0,2.618848167539267,25.0,7.831413612565445
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,25.0,27,-0.03846153772189351,0.0413683372781477,16.324675324675326,0.45664280031821797,1.1634049323786795,16.324675324675326,574.0,1257.0,2.4518695306284806,26.0,7.602227525855211
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,40.0,27,0.19402984785030078,0.05037593981174741,19.27536231884058,0.4706766917293233,1.185263157894737,19.27536231884058,626.0,1330.0,2.492481203007519,29.0,7.535338345864662
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,40.0,29,0.15942028754463353,0.05207547165881096,18.661971830985916,0.470188679245283,1.1843018867924529,18.661971830985916,623.0,1325.0,2.490566037735849,29.0,7.547924528301887
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,53.0,11,0.6562499897460939,0.04999999996093749,17.066666666666666,0.4625,1.18375,17.066666666666666,592.0,1280.0,2.496875,26.0,7.5765625
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,39.0,10,0.5918367226155771,0.03888888885802469,23.333333333333332,0.49126984126984125,1.2034920634920636,23.333333333333332,619.0,1260.0,2.5174603174603174,23.0,7.612698412698412
